date,mc,v_loss_cover,v_rainfall_total,scenario,v_flow_mean_forecast
2020-11-01,13,0.05844,450.19,Def_25%_P_A1,407.29145656249136
2020-12-01,13,0.05849,202.04,Def_25%_P_A1,257.88831921873367
2021-01-01,13,0.05855,193.57,Def_25%_P_A1,202.1287878124147
2021-02-01,13,0.05861,301.0,Def_25%_P_A1,268.3116098436951
2021-03-01,13,0.05867,507.11,Def_25%_P_A1,310.91278843748256
2021-04-01,13,0.05872,490.2,Def_25%_P_A1,353.7382636718198
2021-05-01,13,0.05878,302.33,Def_25%_P_A1,301.9622108594001
2021-06-01,13,0.05884,133.21,Def_25%_P_A1,178.31746281245276
2021-07-01,13,0.0589,157.31,Def_25%_P_A1,121.38839679684105
2021-08-01,13,0.05895,80.71,Def_25%_P_A1,102.19198453124287
2021-09-01,13,0.05901,369.7,Def_25%_P_A1,161.62873999999087
2021-10-01,13,0.05907,367.91,Def_25%_P_A1,264.74112085926754
2021-11-01,13,0.05913,358.89,Def_25%_P_A1,327.1448151561568
2021-12-01,13,0.05918,367.52,Def_25%_P_A1,328.9430558592864
2020-01-01,14,0.01751,94.94,Def_25%_P_A1,69.50776174479161
2020-02-01,14,0.01753,24.17,Def_25%_P_A1,53.950815911458484
2020-03-01,14,0.01754,188.52,Def_25%_P_A1,79.29129067708298
2020-04-01,14,0.01756,215.72,Def_25%_P_A1,99.98915638020792
2020-05-01,14,0.01758,330.81,Def_25%_P_A1,142.46302825520843
2020-06-01,14,0.0176,186.17,Def_25%_P_A1,87.80404453124807
2020-07-01,14,0.01761,239.79,Def_25%_P_A1,75.56527351562532
2020-08-01,14,0.01763,150.27,Def_25%_P_A1,71.34647140624111
2020-09-01,14,0.01765,154.63,Def_25%_P_A1,62.19666039061798
2020-10-01,14,0.01767,299.51,Def_25%_P_A1,127.66671981770818
2020-11-01,14,0.01768,110.36,Def_25%_P_A1,104.06430429686978
2020-12-01,14,0.0177,14.78,Def_25%_P_A1,57.66408307291421
2021-01-01,14,0.01772,56.79,Def_25%_P_A1,42.80132705729142
2021-02-01,14,0.01774,68.57,Def_25%_P_A1,62.24507713541623
2021-03-01,14,0.01775,104.07,Def_25%_P_A1,85.38505940104076
2021-04-01,14,0.01777,184.84,Def_25%_P_A1,104.5776898177077
2021-05-01,14,0.01779,290.51,Def_25%_P_A1,112.35225013020855
2021-06-01,14,0.01781,140.92,Def_25%_P_A1,79.78988322916334
